district_id,district_name,channel_title,url,status
126904,GRANDVIEW ISD,,,not_found
108910,PROGRESO ISD,Progreso Independent School District,https://www.youtube.com/channel/UCd-bIZ8_FwtUDnUR-WGScuQ,found
163903,NATALIA ISD,Natalia ISD,https://www.youtube.com/channel/UCOcuGPUfMuRFuNbRiv2k0xQ,found
045903,RICE CISD,,,not_found
057835,GOLDEN RULE CHARTER SCHOOL,,,not_found
140904,LITTLEFIELD ISD,,,not_found
187910,ONALASKA ISD,,,not_found
229903,WOODVILLE ISD,,,not_found
101802,SER-NINOS CHARTER SCHOOL,,,not_found
120905,INDUSTRIAL ISD,,,not_found
243906,CITY VIEW ISD,,,not_found
049905,CALLISBURG ISD,,,not_found
152908,ROOSEVELT ISD,,,not_found
230906,NEW DIANA ISD,,,not_found
101804,GEORGE I SANCHEZ CHARTER,,,not_found
019905,NEW BOSTON ISD,,,not_found
057828,WINFREE ACADEMY CHARTER SCHOOLS,,,not_found
174908,CENTRAL HEIGHTS ISD,,,not_found
130902,COMFORT ISD,,,not_found
158902,TIDEHAVEN ISD,,,not_found
043917,BLUE RIDGE ISD,,,not_found
201914,WEST RUSK COUNTY CONSOLIDATED ISD,,,not_found
234903,EDGEWOOD ISD,,,not_found
128901,KARNES CITY ISD,,,not_found
089903,NIXON-SMILEY CISD,,,not_found
015913,LACKLAND ISD,,,not_found
152910,IDALOU ISD,,,not_found
101872,ETOILE ACADEMY CHARTER SCHOOL,,,not_found
124901,JIM HOGG COUNTY ISD,,,not_found
091914,S AND S CISD,,,not_found
160901,BRADY ISD,,,not_found
225906,CHAPEL HILL ISD,,,not_found
168901,COLORADO ISD,,,not_found
174906,WODEN ISD,,,not_found
220810,WESTLAKE ACADEMY CHARTER SCHOOL,,,not_found
172905,PEWITT CISD,,,not_found
049903,VALLEY VIEW ISD,,,not_found
161918,AXTELL ISD,,,not_found
187904,CORRIGAN-CAMDEN ISD,,,not_found
074909,LEONARD ISD,,,not_found
219903,TULIA ISD,,,not_found
235901,BLOOMINGTON ISD,,,not_found
013905,SKIDMORE-TYNAN ISD,,,not_found
102906,ELYSIAN FIELDS ISD,,,not_found
127904,HAWLEY ISD,,,not_found
112908,COMO-PICKTON CISD,,,not_found
188903,HIGHLAND PARK ISD,,,not_found
117903,SANFORD-FRITCH ISD,,,not_found
178913,BANQUETE ISD,,,not_found
206901,SAN SABA ISD,,,not_found
152902,NEW DEAL ISD,,,not_found
230908,UNION GROVE ISD,,,not_found
198905,HEARNE ISD,,,not_found
016901,JOHNSON CITY ISD,,,not_found
114904,FORSAN ISD,,,not_found
101859,STEP CHARTER SCHOOL,,,not_found
122901,FT DAVIS ISD,,,not_found
196903,REFUGIO ISD,,,not_found
109907,ITASCA ISD,,,not_found
166905,THORNDALE ISD,,,not_found
057834,EVOLUTION ACADEMY CHARTER SCHOOL,,,not_found
175904,DAWSON ISD,,,not_found
097903,HICO ISD,,,not_found
053001,CROCKETT COUNTY CONSOLIDATED CSD,,,not_found
034905,LINDEN-KILDARE CISD,,,not_found
091902,COLLINSVILLE ISD,,,not_found
198906,MUMFORD ISD,,,not_found
203901,SAN AUGUSTINE ISD,,,not_found
012901,SEYMOUR ISD,,,not_found
227806,UNIVERSITY OF TEXAS UNIVERSITY CHARTER SCHOOL,,,not_found
127906,STAMFORD ISD,,,not_found
178908,PORT ARANSAS ISD,,,not_found
182904,SANTO ISD,,,not_found
001902,CAYUGA ISD,,,not_found
062904,YORKTOWN ISD,,,not_found
249904,CHICO ISD,,,not_found
117904,PLEMONS-STINNETT-PHILLIPS CISD,,,not_found
161919,BRUCEVILLE-EDDY ISD,,,not_found
095903,HALE CENTER ISD,,,not_found
101847,BEATRICE MAYES INSTITUTE CHARTER SCHOOL,,,not_found
174902,CUSHING ISD,,,not_found
104901,HASKELL CISD,,,not_found
100908,WEST HARDIN COUNTY CISD,,,not_found
133901,CENTER POINT ISD,,,not_found
083901,SEAGRAVES ISD,,,not_found
201908,OVERTON ISD,,,not_found
136901,BRACKETT ISD,,,not_found
167901,GOLDTHWAITE ISD,,,not_found
031913,SANTA MARIA ISD,,,not_found
057831,GATEWAY CHARTER ACADEMY,,,not_found
039903,PETROLIA CISD,,,not_found
005904,WINDTHORST ISD,,,not_found
037901,ALTO ISD,,,not_found
201907,MOUNT ENTERPRISE ISD,,,not_found
194904,CLARKSVILLE ISD,,,not_found
112906,NORTH HOPKINS ISD,,,not_found
194905,DETROIT ISD,,,not_found
198901,BREMOND ISD,,,not_found
231901,MCCAMEY ISD,,,not_found
111902,LIPAN ISD,,,not_found
074917,SAM RAYBURN ISD,,,not_found
140908,SUDAN ISD,,,not_found
105803,KI CHARTER,,,not_found
125902,BEN BOLT-PALITO BLANCO ISD,,,not_found
128904,FALLS CITY ISD,,,not_found
236802,SAM HOUSTON STATE UNIVERSITY CHARTER SCHOOL,,,not_found
146905,HULL-DAISETTA ISD,,,not_found
121906,EVADALE ISD,,,not_found
174911,DOUGLASS ISD,,,not_found
138903,MUNDAY CISD,,,not_found
165802,MIDLAND ACADEMY CHARTER SCHOOL,,,not_found
207901,SCHLEICHER ISD,,,not_found
232901,KNIPPA ISD,,,not_found
127903,HAMLIN COLLEGIATE ISD,,,not_found
196902,WOODSBORO ISD,,,not_found
115901,FT HANCOCK ISD,,,not_found
121902,BROOKELAND ISD,,,not_found
011905,MCDADE ISD,,,not_found
203902,BROADDUS ISD,,,not_found
123913,SABINE PASS ISD,,,not_found
071809,VISTA DEL FUTURO CHARTER SCHOOL,,,not_found
015844,ESSENCE PREPARATORY CHARTER SCHOOL,,,not_found
070901,AVALON ISD,,,not_found
101837,CALVIN NELMS CHARTER SCHOOLS,,,not_found
101878,HOUSTON CLASSICAL CHARTER SCHOOL,,,not_found
180902,VEGA ISD,,,not_found
001906,NECHES ISD,,,not_found
109913,BLUM ISD,,,not_found
118902,IRION COUNTY ISD,,,not_found
154903,NORTH ZULCH ISD,,,not_found
186903,IRAAN-SHEFFIELD COLLEGIATE ISD,,,not_found
072908,HUCKABAY ISD,,,not_found
119903,PERRIN-WHITT CISD,,,not_found
001909,SLOCUM ISD,,,not_found
054901,CROSBYTON CISD,,,not_found
046802,TRINITY CHARTER SCHOOL,,,not_found
112907,MILLER GROVE ISD,,,not_found
074904,DODD CITY ISD,,,not_found
074911,SAVOY ISD,,,not_found
250905,YANTIS ISD,,,not_found
227819,UNIVERSITY OF TEXAS ELEMENTARY CHARTER SCHOOL,,,not_found
101875,BLOOM ACADEMY CHARTER SCHOOL,,,not_found
040902,WHITEFACE CISD,,,not_found
076903,ROBY CISD,,,not_found
101855,MEYERPARK CHARTER,,,not_found
087901,GLASSCOCK COUNTY ISD,,,not_found
143902,MOULTON ISD,,,not_found
163902,D'HANIS ISD,,,not_found
067907,RANGER ISD,,,not_found
147901,COOLIDGE ISD,,,not_found
109901,ABBOTT ISD,,,not_found
208903,IRA ISD,,,not_found
013801,ST MARY'S ACADEMY CHARTER SCHOOL,,,not_found
162904,MCMULLEN COUNTY ISD,,,not_found
041902,ROBERT LEE ISD,,,not_found
161925,GHOLSON ISD,,,not_found
219905,KRESS ISD,,,not_found
058905,KLONDIKE ISD,,,not_found
208901,HERMLEIGH ISD,,,not_found
153903,O'DONNELL ISD,,,not_found
