district_id,latitude,longitude,geocode_status,geocode_match_type,matched_address,tiger_line_id,side,input_address
015907,29.432784903173,-98.498160685897,Match,Non_Exact,"514 W QUINCY ST, SAN ANTONIO, TX, 78212",657897836,L,"514 QUINCY ST, SAN ANTONIO, TX, 78212"
015908,29.355487251469,-98.610862844417,Match,Exact,"5622 RAY ELLISON BLVD, SAN ANTONIO, TX, 78242",645207040,L,"5622 RAY ELLISON BLVD, SAN ANTONIO, TX, 78242"
015909,28.920168550088,-98.547773174248,Match,Non_Exact,"1511 ZANDERSON AVE, JOURDANTON, TX, 78026",24456850,R,"1511 ZANDERSON, JOURDANTON, TX, 78026-3439"
015910,29.522098773011,-98.458038424235,Match,Exact,"8961 TESORO DR, SAN ANTONIO, TX, 78217",101498905,R,"8961 TESORO DR, SAN ANTONIO, TX, 78217"
015911,29.363301910118,-98.360214085158,Match,Non_Exact,"6634 NEW SULPHUR SPRINGS RD, SAN ANTONIO, TX, 78263",101732151,R,"6634 NEW SULPHUR SPRINGS RD, SAN ANTONIO, TX, 78263-9701"
015912,29.306226109369,-98.672339164763,Match,Non_Exact,"11914 DRAGON LN, SAN ANTONIO, TX, 78252",101507937,L,"11914 DRAGON LN, SAN ANTONIO, TX, 78252-2647"
015914,29.47845264395,-98.417852175249,Match,Non_Exact,"4005 WINANS RD, SAN ANTONIO, TX, 78234",638592708,L,"4005 WINANS RD, SAN ANTONIO, TX, 78234-1497"
015915,29.491000542689,-98.600840578975,Match,Exact,"5900 EVERS RD, SAN ANTONIO, TX, 78238",101732844,L,"5900 EVERS RD, SAN ANTONIO, TX, 78238"
015916,29.553290334666,-98.330013662274,Match,Non_Exact,"8012 SHIN OAK DR, LIVE OAK, TX, 78233",101503720,R,"8012 SHIN OAK, LIVE OAK, TX, 78233-2457"
015917,29.241349400866,-98.472565066816,Match,Non_Exact,"1460 MARTINEZ LOSOYA RD, SAN ANTONIO, TX, 78221",101730371,L,"1460 MARTINEZ LOSOYA RD, SAN ANTONIO, TX, 78221-9648"
016902,30.105285235236,-98.42335619173,Match,Exact,"814 11TH ST, BLANCO, TX, 78606",72142445,R,"814 11TH ST, BLANCO, TX, 78606"
019901,33.509877932577,-94.620644085973,Match,Non_Exact,"101 MAPLE ST, DE KALB, TX, 75559",57689775,R,"101 MAPLE ST, DEKALB, TX, 75559-1614"
019902,33.466588716772,-94.283381616877,Match,Exact,"100 E 5TH ST, HOOKS, TX, 75561",57661947,R,"100 E 5TH ST, HOOKS, TX, 75561"
019905,33.461713490705,-94.41548275416,Match,Non_Exact,"201 RICE ST, NEW BOSTON, TX, 75570",57660275,R,"201 RICE ST, NEW BOSTON, TX, 75570-2389"
019907,33.457063879502,-94.065448669741,Match,Non_Exact,"4241 SUMMERHILL RD, TEXARKANA, TX, 75503",651865579,L,"4241 SUMMERHILL RD, TEXARKANA, TX, 75503-2733"
