district_id,district_name,county,enrollment,website_url,video_platform,video_url,archive_start_year,youtube_channel_id,notes,confidence,last_checked,video_status
235902,VICTORIA ISD,VICTORIA COUNTY,12919,https://www.visd.org,swagit,https://victoriaisdtx.new.swagit.com/,,,Directory scraper: swagit,high,2026-04-21,directory_found
236902,HUNTSVILLE ISD,WALKER COUNTY,10960,https://www.huntsville-isd.org,swagit,https://huntsvilletx.new.swagit.com/,,,Directory scraper: swagit,high,2026-04-21,directory_found
240901,LAREDO ISD,WEBB COUNTY,20271,https://www.laredoisd.org,swagit,https://laredotx.new.swagit.com/,,,Directory scraper: swagit,high,2026-04-21,directory_found
243905,WICHITA FALLS ISD,WICHITA COUNTY,12644,https://www.wfisd.net,swagit,https://wichitafallsisdtx.new.swagit.com/,,,Directory scraper: swagit,high,2026-04-21,directory_found
246906,HUTTO ISD,WILLIAMSON COUNTY,10688,https://www.huttoschools.org,swagit,https://huttoisdtx.new.swagit.com/,,,Directory scraper: swagit,high,2026-04-21,directory_found
246908,LIBERTY HILL ISD,WILLIAMSON COUNTY,9836,,swagit,https://libertyhilltx.new.swagit.com/,,,Directory scraper: swagit,high,2026-04-21,directory_found
246909,ROUND ROCK ISD,WILLIAMSON COUNTY,46954,https://www.roundrockisd.org,swagit,https://roundrockisdtx.new.swagit.com/,,,Directory scraper: swagit,high,2026-04-21,directory_found
246911,TAYLOR ISD,WILLIAMSON COUNTY,2930,https://www.taylorisd.org,swagit,https://taylortx.new.swagit.com/,,,Directory scraper: swagit,high,2026-04-21,directory_found
249905,DECATUR ISD,WISE COUNTY,3786,https://www.decaturisd.us,swagit,https://decaturtx.new.swagit.com/,,,Directory scraper: swagit,high,2026-04-21,directory_found
129903,KAUFMAN ISD,KAUFMAN COUNTY,4356,https://www.kaufmanisd.net,boarddocs,https://go.boarddocs.com/tx/kaufman/Board.nsf/Public,,,Directory scraper: boarddocs,high,2026-04-21,directory_found
003902,HUDSON ISD,ANGELINA COUNTY,2777,https://www.hudsonisd.org,granicus,https://hudson.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
007901,CHARLOTTE ISD,ATASCOSA COUNTY,424,https://www.charlotteisd.net,granicus,https://charlotte.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
013902,PAWNEE ISD,BEE COUNTY,630,https://www.pawneeisd.net,granicus,https://pawnee.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
021901,COLLEGE STATION ISD,BRAZOS COUNTY,14314,https://www.csisd.org,granicus,https://collegestation.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
026901,CALDWELL ISD,BURLESON COUNTY,1952,https://www.caldwellisd.net,granicus,https://caldwell.granicus.com/,,,Directory scraper: granicus,high,2026-04-21,directory_found
