district_id,district_name,url,status
032902,PITTSBURG ISD,https://www.pittsburgisd.net,found
030903,BAIRD ISD,https://www.bairdisd.org,found
033901,GROOM ISD,https://www.groomisd.net,found
033902,PANHANDLE ISD,https://www.panhandleisd.net,found
033904,WHITE DEER ISD,https://www.whitedeerisd.net,found
018904,VALLEY MILLS ISD,https://www.vmisd.net,found
031913,SANTA MARIA ISD,https://www.smisd.net,found
034902,AVINGER ISD,https://www.avingerisd.net,found
019905,NEW BOSTON ISD,https://www.nbisd.org,found
034907,QUEEN CITY ISD,https://www.qcisd.net,found
031916,SOUTH TEXAS ISD,https://www.stisd.net,found
034905,LINDEN-KILDARE CISD,,not_found
034909,BLOOMBURG ISD,https://www.bloomburgisd.net,found
035901,DIMMITT ISD,https://www.dimmittisd.net,found
035902,HART ISD,https://www.hartisd.net,found
034903,HUGHES SPRINGS ISD,https://www.hsisd.org,found
036903,EAST CHAMBERS ISD,https://www.ecisd.org,found
035903,NAZARETH ISD,https://www.nazarethisd.org,found
030906,EULA ISD,https://www.eulaisd.us,found
037908,NEW SUMMERFIELD ISD,https://www.newsummerfieldisd.org,found
037907,RUSK ISD,https://ruskisd.org,found
037909,WELLS ISD,https://www.wisd.org,found
011905,MCDADE ISD,https://www.mcdadeisd.net,found
038901,CHILDRESS ISD,https://www.childressisd.net,found
037904,JACKSONVILLE ISD,https://www.jisd.org,found
039904,BELLEVUE ISD,https://www.bellevueisd.org,found
039905,MIDWAY ISD,https://www.midwayisd.org,found
039902,HENRIETTA ISD,https://www.hisd.us,found
040902,WHITEFACE CISD,https://www.wisd.org,found
040901,MORTON ISD,https://www.mortonisd.org,found
041901,BRONTE ISD,https://www.bronteisd.net,found
042901,COLEMAN ISD,https://www.colemanisd.net,found
041902,ROBERT LEE ISD,https://www.rlisd.org,found
042903,SANTA ANNA ISD,https://www.santaannaisd.net,found
037901,ALTO ISD,https://www.aisd.net,found
044902,WELLINGTON ISD,https://www.wellingtonisd.net,found
045902,COLUMBUS ISD,https://www.columbusisd.org,found
045905,WEIMAR ISD,https://www.weimarisd.org,found
045903,RICE CISD,https://www.risd.org,found
019902,HOOKS ISD,https://www.hooksisd.net,found
046902,COMAL ISD,https://www.comalisd.org,found
046802,TRINITY CHARTER SCHOOL,https://www.trinityisd.net,found
043917,BLUE RIDGE ISD,https://www.brisd.org,found
011901,BASTROP ISD,https://www.bisd.net,found
014902,BARTLETT ISD,https://www.bisd.net,found
047901,COMANCHE ISD,https://www.comancheisd.net,found
047903,GUSTINE ISD,https://www.gisd.org,found
047905,SIDNEY ISD,https://www.sisd.org,found
047902,DE LEON ISD,https://www.deleonisd.net,found
049901,GAINESVILLE ISD,https://www.gainesvilleisd.org,found
036901,ANAHUAC ISD,https://www.aisd.net,found
048903,PAINT ROCK ISD,https://www.paintrockisd.net,found
048901,EDEN CISD,https://www.eisd.org,found
049905,CALLISBURG ISD,https://www.cisd.org,found
049907,LINDSAY ISD,https://www.lindsayisd.org,found
049902,MUENSTER ISD,https://www.muensterisd.net,found
049908,WALNUT BEND ISD,https://www.walnutbendisd.net,found
049906,ERA ISD,https://www.eraisd.net,found
049903,VALLEY VIEW ISD,https://www.vvisd.org,found
034906,MCLEOD ISD,https://www.mcleodisd.net,found
050904,OGLESBY ISD,https://www.oglesbyisd.net,found
049909,SIVELLS BEND ISD,https://www.sivellsbendisd.net,found
050901,EVANT ISD,https://www.evantisd.org,found
050909,JONESBORO ISD,https://www.jonesboroisd.net,found
050902,GATESVILLE ISD,https://www.gatesvilleisd.org,found
051901,PADUCAH ISD,https://www.paducahisd.org,found
054901,CROSBYTON CISD,https://www.cisd.org,found
054902,LORENZO ISD,https://www.lorenzoisd.net,found
054903,RALLS ISD,https://www.rallsisd.org,found
053001,CROCKETT COUNTY CONSOLIDATED CSD,https://www.crockettisd.net,found
042905,PANTHER CREEK CISD,,not_found
055901,CULBERSON COUNTY-ALLAMOORE ISD,https://www.ccaisd.net,found
056901,DALHART ISD,https://www.dalhartisd.org,found
052901,CRANE ISD,https://www.craneisd.com,found
057916,RICHARDSON ISD,https://www.richardsonisd.org,found
056902,TEXLINE ISD,https://www.texlineisd.net,found
058906,LAMESA ISD,https://www.lamesaisd.net,found
058909,SANDS CISD,https://www.sisd.org,found
057828,WINFREE ACADEMY CHARTER SCHOOLS,,not_found
034901,ATLANTA ISD,https://www.aisd.net,found
059901,HEREFORD ISD,https://www.herefordisd.net,found
057835,GOLDEN RULE CHARTER SCHOOL,,not_found
059902,WALCOTT ISD,https://www.walcottisd.com,found
060902,COOPER ISD,https://www.cooperisd.net,found
062901,CUERO ISD,https://www.cueroisd.org,found
050910,COPPERAS COVE ISD,https://www.ccisd.org,found
057834,EVOLUTION ACADEMY CHARTER SCHOOL,,not_found
060914,FANNINDEL ISD,https://www.fannindelisd.net,found
062903,YOAKUM ISD,https://www.yoakumisd.net,found
057831,GATEWAY CHARTER ACADEMY,https://www.gatewaycharteracademy.org,found
039903,PETROLIA CISD,https://www.pisd.org,found
062902,NORDHEIM ISD,https://www.nordheimisd.org,found
062906,MEYERSVILLE ISD,https://www.meyersvilleisd.org,found
064903,CARRIZO SPRINGS CISD,https://www.csisd.org,found
065901,CLARENDON ISD,https://www.clarendonisd.net,found
063906,PATTON SPRINGS ISD,https://www.psisd.com,found
061911,NORTHWEST ISD,https://www.northwestisd.com,found
062904,YORKTOWN ISD,https://www.yisd.org,found
063903,SPUR ISD,https://www.spurisd.net,found
065902,HEDLEY ISD,https://www.hedleyisd.net,found
066005,RAMIREZ CSD,https://www.rcisd.org,found
062905,WESTHOFF ISD,https://www.westhoffisd.org,found
067904,GORMAN ISD,https://www.gormanisd.net,found
066902,SAN DIEGO ISD,https://www.sdisd.net,found
067903,EASTLAND ISD,https://www.eastlandisd.net,found
067902,CISCO ISD,https://www.ciscoisd.net,found
067908,RISING STAR ISD,https://www.risingstarisd.org,found
066903,FREER ISD,https://www.freerisd.org,found
067907,RANGER ISD,https://www.risd.org,found
069901,ROCKSPRINGS ISD,https://www.rockspringsisd.net,found
070901,AVALON ISD,https://www.avalonisd.net,found
070905,FERRIS ISD,https://www.ferrisisd.org,found
066901,BENAVIDES ISD,https://www.benavidesisd.net,found
070908,MIDLOTHIAN ISD,https://www.midlothianisd.org,found
070907,ITALY ISD,https://www.italyisd.org,found
070909,MILFORD ISD,https://www.milfordisd.org,found
070911,RED OAK ISD,https://www.redoakisd.org,found
070915,MAYPEARL ISD,https://www.maypearlisd.org,found
070903,ENNIS ISD,https://www.eisd.org,found
068802,COMPASS ACADEMY CHARTER SCHOOL,,not_found
071909,SOCORRO ISD,https://www.sisd.org,found
070912,WAXAHACHIE ISD,https://www.wisd.org,found
072903,STEPHENVILLE ISD,https://www.sisd.org,found
046901,NEW BRAUNFELS ISD,https://www.nbisd.org,found
071801,BURNHAM WOOD CHARTER SCHOOL DISTRICT,,not_found
072901,THREE WAY ISD,https://www.twisd.us,found
070910,PALMER ISD,https://www.pisd.org,found
