district_id,district_name,county,enrollment,website_url,video_platform,video_url,archive_start_year,youtube_channel_id,notes,confidence,last_checked,video_status,score
011902,ELGIN ISD,BASTROP COUNTY,5959,https://www.elginisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/Elgin,,,"Crawler found: boardbook, zoom. Crawled 8 pages. Score: 100/100.",high,2026-04-21,crawler_found,100
011904,SMITHVILLE ISD,BASTROP COUNTY,1849,https://www.smithvilleisd.org,website_archive,https://www.smithvilleisd.org/live-feed,,,Crawler found: website_archive. Crawled 2 pages. Score: 60/100.,medium,2026-04-21,crawler_found,60
013902,PAWNEE ISD,BEE COUNTY,630,https://www.pawneeisd.net,boardbook,https://meetings.boardbook.org/Public/Organization/1961\\\,,,"Crawler found: boardbook, facebook_live. Crawled 2 pages. Score: 100/100.",high,2026-04-21,crawler_found,100
013903,PETTUS ISD,BEE COUNTY,377,https://www.pettusisd.org,boardbook,https://meetings.boardbook.org/Public/Organization/1859,,,Crawler found: boardbook. Crawled 1 pages. Score: 78/100.,medium,2026-04-21,crawler_found,78
014803,PRIORITY CHARTER SCHOOLS,BELL COUNTY,504,https://www.prioritycharterschools.org,facebook_live,https://www.prioritycharterschools.org/live-feed,,,"Crawler found: facebook_live, zoom. Crawled 4 pages. Score: 100/100.",high,2026-04-21,crawler_found,100
014902,BARTLETT ISD,BELL COUNTY,393,https://www.bartlettschools.org,website_archive,https://www.bartlettschools.org/board/board,,,Crawler found: website_archive. Crawled 8 pages. Score: 45/100.,low,2026-04-21,crawler_found,45
014903,BELTON ISD,BELL COUNTY,13697,https://www.bisd.net,youtube,https://www.youtube.com/channel/UC_aM8OsTI3PMDsgszlHA2og?view_as=subscriber,,@BeltonISD,"Crawler found: boardbook, youtube. Crawled 8 pages. Score: 100/100.",high,2026-04-21,crawler_found,100
014905,HOLLAND ISD,BELL COUNTY,646,https://www.hollandisd.org,boardbook,https://meetings.boardbook.org/Public/Organization/2290,,,Crawler found: boardbook. Crawled 3 pages. Score: 65/100.,medium,2026-04-21,crawler_found,65
014907,ROGERS ISD,BELL COUNTY,893,https://www.rogersisd.org,youtube,https://meetings.boardbook.org/Public/Organization/1048,,,"Crawler found: boardbook, youtube. Crawled 8 pages. Score: 85/100.",high,2026-04-21,crawler_found,85
014909,TEMPLE ISD,BELL COUNTY,8764,https://www.tisd.org,youtube,http://www.youtube.com/channel/UCK8dUEScX7-_besvdZTxB3A,,channel/UCK8dUEScX7-_besvdZTxB3A,"Crawler found: boardbook, youtube. Crawled 1 pages. Score: 78/100.",medium,2026-04-21,crawler_found,78
014910,TROY ISD,BELL COUNTY,1732,https://www.troyisd.org,boardbook,https://meetings.boardbook.org/Public/Organization/907,,,Crawler found: boardbook. Crawled 3 pages. Score: 85/100.,high,2026-04-21,crawler_found,85
015901,ALAMO HEIGHTS ISD,BEXAR COUNTY,4749,https://www.ahisd.net,youtube,https://www.youtube.com/channel/UCn4YUx86-MdIoRPpRoa0SIQ,,channel/UCn4YUx86-MdIoRPpRoa0SIQ,"Crawler found: boardbook, youtube. Crawled 8 pages. Score: 100/100.",high,2026-04-21,crawler_found,100
015917,SOUTHSIDE ISD,BEXAR COUNTY,6091,https://southsideisd.org,youtube,https://www.youtube.com/c/southsideisd,,@southsideisd,Crawler found: youtube. Crawled 8 pages. Score: 100/100.,high,2026-04-21,crawler_found,100
016901,JOHNSON CITY ISD,BLANCO COUNTY,707,https://www.jcisd.org,vimeo,http://vimeo.com/jacksoncountyisd,,,"Crawler found: vimeo, diligent. Crawled 8 pages. Score: 85/100.",high,2026-04-25,crawler_found,85
